id,name,categories,provinces,primaryType,rating,reviewsCount,address,phone,website,googleMapsUrl,lat,lng,priceHint,hours,plusCode
"f65b49989ca3bc45","The Litton Hotel","hotels","Camarines Sur","Hotel","4.6","99","4.6(99)","","","https://www.google.com/maps/place/The+Litton+Hotel/data=!4m10!3m9!1s0x33a1f311f5f4706f:0xf65b49989ca3bc45!5m2!4m1!1i2!8m2!3d13.6306815!4d123.1972179!16s%2Fg%2F11rvbf4w7w!19sChIJb3D09RHzoTMRRbyjnJhJW_Y?authuser=0&hl=en&rclk=1","13.6306815","123.1972179","","",""
"a231e8dcbddd460b","The Lumber","staycations|hotels","Catanduanes","Hotel","4.6","11","4.6(11)","","","https://www.google.com/maps/place/The+Lumber/data=!4m10!3m9!1s0x33a01100073ff72f:0xa231e8dcbddd460b!5m2!4m1!1i2!8m2!3d13.5917842!4d124.2482056!16s%2Fg%2F11vzkpphxp!19sChIJL_c_BwARoDMRC0bdvdzoMaI?authuser=0&hl=en&rclk=1","13.5917842","124.2482056","","",""
"8c840b9fc88e63f1","The M Residence Resort And Guest House","staycations","Albay","","3.7","10","3.7(10)","","","https://www.google.com/maps/place/The+M+Residence+Resort+And+Guest+House/data=!4m7!3m6!1s0x33a1017db0f218ed:0x8c840b9fc88e63f1!8m2!3d13.1124258!4d123.7829147!16s%2Fg%2F11vt6h8tbz!19sChIJ7RjysH0BoTMR8WOOyJ8LhIw?authuser=0&hl=en&rclk=1","13.1124258","123.7829147","","",""
"a6d6d9d3c4696634","The Manay Imacoto Beach Club & Resort","resorts","Albay","Resort hotel","5","15","5.0(15)","","","https://www.google.com/maps/place/The+Manay+Imacoto+Beach+Club+%26+Resort/data=!4m10!3m9!1s0x33a16f5ad8c62751:0xa6d6d9d3c4696634!5m2!4m1!1i2!8m2!3d13.0604375!4d123.2845625!16s%2Fg%2F11vbjsz96p!19sChIJUSfG2FpvoTMRNGZpxNPZ1qY?authuser=0&hl=en&rclk=1","13.0604375","123.2845625","","",""
"7b86f973d84c8d20","The Marison Hotel","resorts|staycations|hotels|food","Albay|Sorsogon","3-star hotel","4.4","720","4.4(720)","","","https://www.google.com/maps/place/The+Marison+Hotel/data=!4m7!3m6!1s0x33a1017a9d2443d9:0x7b86f973d84c8d20!8m2!3d13.1556891!4d123.7421026!16s%2Fg%2F11d_z66ghn!19sChIJ2UMknXoBoTMRII1M2HP5hns?authuser=0&hl=en&rclk=1","13.1556891","123.7421026","","",""
"2f96e615ca4a2a46","The Natural's Homestay","hotels","Masbate","","4.6","8","4.6(8)","","","https://www.google.com/maps/place/The+Natural%27s+Homestay/data=!4m10!3m9!1s0x33a6dd2e72275f33:0x2f96e615ca4a2a46!5m2!4m1!1i2!8m2!3d12.3655514!4d123.6188621!16s%2Fg%2F11v0p53t04!19sChIJM18nci7dpjMRRipKyhXmli8?authuser=0&hl=en&rclk=1","12.3655514","123.6188621","","",""
"a6ae3a7d0d1cb8ff","THE OASIS RESORT & VENUE for all Occasions","resorts|staycations|hotels","Camarines Sur|Camarines Norte","Resort hotel","3.9","39","3.9(39)","","","https://www.google.com/maps/place/THE+OASIS+RESORT+%26+VENUE+for+all+Occasions/data=!4m10!3m9!1s0x33a18b07fa3a7ddb:0xa6ae3a7d0d1cb8ff!5m2!4m1!1i2!8m2!3d13.5669694!4d123.1205029!16s%2Fg%2F11w350xlqx!19sChIJ2306-geLoTMR_7gcDX06rqY?authuser=0&hl=en&rclk=1","13.5669694","123.1205029","","",""
"38cebff0accf954f","THE OASIS RESORT CondoBimbo 1-Big Room, Balcony, kitchen, Pool, Wifi, Videoke - Studio with Garden View","staycations","Camarines Sur","Villa","","","Sleeps 9 • 1 bedroom • 9 beds","","","https://www.google.com/maps/place/THE+OASIS+RESORT+CondoBimbo+1-Big+Room,+Balcony,+kitchen,+Pool,+Wifi,+Videoke+-+Studio+with+Garden+View/data=!4m11!3m10!1s0x33a18a2da155f129:0x38cebff0accf954f!5m2!4m1!1i2!8m2!3d13.5675297!4d123.1207428!16s%2Fg%2F11n3m1fh3v!17BQ0FF!19sChIJKfFVoS2KoTMRT5XPrPC_zjg?authuser=0&hl=en&rclk=1","13.5675297","123.1207428","","",""
"6f1cd8ab6f0d4d0e","The Oriental Legazpi","resorts|staycations|hotels","Albay|Sorsogon","4-star hotel","3.9","1090","3.9(1,090)","","","https://www.google.com/maps/place/The+Oriental+Legazpi/data=!4m10!3m9!1s0x33a103d11bef603b:0x6f1cd8ab6f0d4d0e!5m2!4m1!1i2!8m2!3d13.134506!4d123.738749!16s%2Fg%2F1td2dfhp!19sChIJO2DvG9EDoTMRDk0Nb6vYHG8?authuser=0&hl=en&rclk=1","13.134506","123.738749","","",""
"ab2d7db3e9d47745","The Originals Street Cafe","food","Albay","","4.3","14","4.3(14)","","","https://www.google.com/maps/place/The+Originals+Street+Cafe/data=!4m7!3m6!1s0x33a1039d8bc3d55b:0xab2d7db3e9d47745!8m2!3d13.1433483!4d123.7153402!16s%2Fg%2F11stj73z9d!19sChIJW9XDi50DoTMRRXfU6bN9Las?authuser=0&hl=en&rclk=1","13.1433483","123.7153402","₱1–500","Open · Closes 12 AM",""
"699ee2fbd0fc9aa9","The Palm Resort","resorts|staycations|hotels","Camarines Sur|Camarines Norte","Resort hotel","4.4","58","4.4(58)","","","https://www.google.com/maps/place/The+Palm+Resort/data=!4m10!3m9!1s0x33a195ce6091228f:0x699ee2fbd0fc9aa9!5m2!4m1!1i2!8m2!3d13.5741841!4d123.3961741!16s%2Fg%2F11ppntdxpj!19sChIJjyKRYM6VoTMRqZr80Pvinmk?authuser=0&hl=en&rclk=1","13.5741841","123.3961741","","",""
"55b1f62a7448a156","the panorama Daraga","staycations","Albay","","","","Sleeps 15 • 10 bedrooms • 10 beds","","","https://www.google.com/maps/place/the+panorama+Daraga/data=!4m11!3m10!1s0x33a1015f725cee57:0x55b1f62a7448a156!5m2!4m1!1i2!8m2!3d13.1493397!4d123.7260285!16s%2Fg%2F11xft284pj!17BQ0FF!19sChIJV-5ccl8BoTMRVqFIdCr2sVU?authuser=0&hl=en&rclk=1","13.1493397","123.7260285","","",""
"f26e902c4171b434","The Panorama Penthouse Daraga","staycations","Albay","","4.6","7","4.6(7)","","","https://www.google.com/maps/place/The+Panorama+Penthouse+Daraga/data=!4m11!3m10!1s0x33a103e1fa9c5bc7:0xf26e902c4171b434!5m2!4m1!1i2!8m2!3d13.1479082!4d123.724411!16s%2Fg%2F11z5cgczrj!17BQ0FF!19sChIJx1uc-uEDoTMRNLRxQSyQbvI?authuser=0&hl=en&rclk=1","13.1479082","123.724411","","",""
"8dc41eec8e554c32","The Panorama Penthouse Daraga - Two-Bedroom Apartment","staycations","Albay","","4.7","6","4.7(6)","","","https://www.google.com/maps/place/The+Panorama+Penthouse+Daraga+-+Two-Bedroom+Apartment/data=!4m11!3m10!1s0x33a103e1fa9c673d:0x8dc41eec8e554c32!5m2!4m1!1i2!8m2!3d13.1479102!4d123.724411!16s%2Fg%2F11x6lyt57f!17BQ0FF!19sChIJPWec-uEDoTMRMkxVjuwexI0?authuser=0&hl=en&rclk=1","13.1479102","123.724411","","",""
"ed8fd910ee29ff62","The Pepperland Hotel","resorts|staycations|hotels","Albay","4-star hotel","4.3","302","4.3(302)","","","https://www.google.com/maps/place/The+Pepperland+Hotel/data=!4m10!3m9!1s0x33a101612629092b:0xed8fd910ee29ff62!5m2!4m1!1i2!8m2!3d13.151585!4d123.732356!16s%2Fg%2F1tdgrygx!19sChIJKwkpJmEBoTMRYv8p7hDZj-0?authuser=0&hl=en&rclk=1","13.151585","123.732356","","",""
"c81962635eec910e","The Perfect Blend Coffee Station","food","Masbate","","","","9JHG+258, Boulevard Extension","","","https://www.google.com/maps/place/The+Perfect+Blend+Coffee+Station/data=!4m7!3m6!1s0x33a6db4ac1c8ecb5:0xc81962635eec910e!8m2!3d12.3775268!4d123.6254441!16s%2Fg%2F11srbbgwwn!19sChIJtezIwUrbpjMRDpHsXmNiGcg?authuser=0&hl=en&rclk=1","12.3775268","123.6254441","","",""
"817ba3aea7c41dc8","The Point at Beata Beach & Sanctuary","resorts|beaches|staycations","Sorsogon|Masbate","Resort hotel","4.7","127","4.7(127)","","","https://www.google.com/maps/place/The+Point+at+Beata+Beach+%26+Sanctuary/data=!4m7!3m6!1s0x33a0c97b2d524243:0x817ba3aea7c41dc8!8m2!3d12.6225293!4d124.0938319!16s%2Fg%2F11rqfy6bgn!19sChIJQ0JSLXvJoDMRyB3Ep66je4E?authuser=0&hl=en&rclk=1","12.6225293","124.0938319","","",""
"2b272fd9ea3b0f56","The Prime Resto Bar","food","Catanduanes","Restaurant","4.8","5","4.8(5)","","","https://www.google.com/maps/place/The+Prime+Resto+Bar/data=!4m7!3m6!1s0x33a0178cf3aa23e3:0x2b272fd9ea3b0f56!8m2!3d13.5786995!4d124.2313145!16s%2Fg%2F11v03yxn5k!19sChIJ4yOq84wXoDMRVg876tkvJys?authuser=0&hl=en&rclk=1","13.5786995","124.2313145","","Open · Closes 12 AM",""
"23dc72d679d9afa3","The Red Sea Seafood & Grill","food","Albay|Camarines Sur","","","","The Wynnz Building, Alternate Rd","","","https://www.google.com/maps/place/The+Red+Sea+Seafood+%26+Grill/data=!4m7!3m6!1s0x33a10300288c1d0b:0x23dc72d679d9afa3!8m2!3d13.1462631!4d123.7379492!16s%2Fg%2F11myx4tlfv!19sChIJCx2MKAADoTMRo6_ZedZy3CM?authuser=0&hl=en&rclk=1","13.1462631","123.7379492","","",""
"7d81e3c18e0e2952","The Residences by 199 Property Rental","resorts","Albay","Resort hotel","5","25","5.0(25)","","","https://www.google.com/maps/place/The+Residences+by+199+Property+Rental/data=!4m7!3m6!1s0x33a10988149c217b:0x7d81e3c18e0e2952!8m2!3d13.1876814!4d123.5962814!16s%2Fg%2F11v01rz22q!19sChIJeyGcFIgJoTMRUikOjsHjgX0?authuser=0&hl=en&rclk=1","13.1876814","123.5962814","","",""
